index,state,Day,Month,Year,order_date,revenue
2668,Washington,Monday,May,2014,5/19/2014,751
2669,Iowa,Saturday,December,2014,12/6/2014,1051
2670,Nebraska,Saturday,November,2014,11/1/2014,651
2671,Montana,Tuesday,July,2014,7/29/2014,903
2672,Mississippi,Thursday,May,2014,5/1/2014,598
2673,New York,Sunday,May,2014,5/4/2014,814
2674,Maine,Wednesday,July,2014,7/30/2014,401
2675,Georgia,Friday,September,2014,9/5/2014,1190
2676,Washington,Wednesday,September,2014,9/17/2014,785
2677,Mississippi,Friday,May,2014,5/2/2014,594
2678,Mississippi,Wednesday,June,2014,6/18/2014,700
2679,Ohio,Saturday,November,2014,11/8/2014,595
2680,Alaska,Tuesday,July,2014,7/22/2014,518
2681,Delaware,Saturday,August,2014,8/23/2014,920
2682,Alaska,Friday,November,2014,11/14/2014,467
2683,Texas,Saturday,August,2014,8/2/2014,1196
2684,Montana,Sunday,November,2014,11/9/2014,793
2685,Kansas,Wednesday,November,2014,11/5/2014,970
2686,New Mexico,Tuesday,November,2014,11/25/2014,1101
2687,Georgia,Tuesday,June,2014,6/10/2014,1194
2688,New York,Wednesday,May,2014,5/7/2014,560
2689,Nevada,Thursday,June,2014,6/12/2014,320
2690,Delaware,Wednesday,July,2014,7/23/2014,934
2691,Ohio,Monday,February,2014,2/3/2014,698
2692,Texas,Saturday,November,2014,11/8/2014,1061
2693,Indiana,Wednesday,December,2014,12/10/2014,624
2694,Ohio,Thursday,May,2014,5/1/2014,591
2695,Montana,Friday,December,2014,12/26/2014,858
2696,Montana,Monday,June,2014,6/2/2014,921
2697,Florida,Tuesday,July,2014,7/8/2014,911
2698,New York,Wednesday,June,2014,6/18/2014,827
2699,Maine,Monday,July,2014,7/7/2014,372
2700,Florida,Monday,May,2014,5/26/2014,860
2701,Oregon,Saturday,February,2014,2/22/2014,672
2702,Nevada,Thursday,February,2014,2/13/2014,486
2703,Georgia,Friday,April,2014,4/25/2014,1303
2704,Ohio,Monday,March,2014,3/3/2014,822
2705,Nevada,Friday,July,2014,7/18/2014,487
2706,California,Monday,May,2014,5/26/2014,690
2707,Alaska,Tuesday,January,2014,1/14/2014,674
2708,Georgia,Thursday,December,2014,12/4/2014,1200
2709,Kansas,Thursday,September,2014,9/18/2014,1081
2710,Montana,Tuesday,January,2014,1/28/2014,988
2711,Oklahoma,Wednesday,January,2014,1/1/2014,647
2712,New York,Sunday,October,2014,10/12/2014,573
2713,Nebraska,Friday,February,2014,2/14/2014,708
2714,Arkansas,Wednesday,May,2014,5/21/2014,1182
2715,New Mexico,Friday,March,2014,3/28/2014,1272
2716,Indiana,Saturday,January,2014,1/25/2014,505
2717,Alaska,Sunday,May,2014,5/11/2014,593
2718,New Mexico,Thursday,October,2014,10/9/2014,1198
2719,Oklahoma,Friday,March,2014,3/7/2014,528
2720,Iowa,Tuesday,July,2014,7/1/2014,1327
2721,Texas,Friday,October,2014,10/24/2014,1119
2722,Louisiana,Friday,June,2014,6/27/2014,1430
2723,Missouri,Saturday,March,2014,3/15/2014,1328
2724,California,Monday,April,2014,4/21/2014,664
2725,Oklahoma,Saturday,March,2014,3/22/2014,588
2726,Texas,Saturday,December,2014,12/13/2014,1095
2727,Iowa,Friday,May,2014,5/30/2014,1014
2728,Alaska,Tuesday,May,2014,5/27/2014,701
2729,Nevada,Thursday,April,2014,4/17/2014,422
2730,Iowa,Sunday,July,2014,7/6/2014,1134
2731,Idaho,Sunday,September,2014,9/7/2014,1308
2732,Washington,Monday,September,2014,9/15/2014,692
2733,California,Friday,April,2014,4/4/2014,669
2734,Nebraska,Tuesday,April,2014,4/8/2014,927
2735,Georgia,Thursday,July,2014,7/17/2014,1119
2736,Ohio,Friday,March,2014,3/7/2014,662
2737,Alaska,Saturday,September,2014,9/20/2014,652
2738,Montana,Thursday,September,2014,9/18/2014,826
2739,Iowa,Tuesday,July,2014,7/8/2014,1177
2740,Ohio,Saturday,September,2014,9/13/2014,588
2741,Arkansas,Friday,September,2014,9/5/2014,1230
2742,California,Sunday,June,2014,6/1/2014,783
2743,Iowa,Friday,September,2014,9/26/2014,1065
2744,Florida,Tuesday,June,2014,6/10/2014,796
2745,Arkansas,Monday,July,2014,7/14/2014,1216
2746,Oregon,Thursday,August,2014,8/7/2014,720
2747,Montana,Saturday,March,2014,3/29/2014,955
2748,Oregon,Wednesday,July,2014,7/16/2014,799
2749,Washington,Monday,July,2014,7/28/2014,792
2750,Maine,Sunday,February,2014,2/23/2014,542
2751,Oregon,Friday,October,2014,10/17/2014,734
2752,Oregon,Saturday,May,2014,5/10/2014,801
2753,Alaska,Saturday,January,2014,1/18/2014,584
2754,Washington,Wednesday,December,2014,12/10/2014,847
2755,Ohio,Thursday,January,2014,1/9/2014,708
2756,Illinois,Saturday,December,2014,12/6/2014,1384
2757,New Mexico,Sunday,September,2014,9/21/2014,1249
2758,Indiana,Saturday,April,2014,4/26/2014,446
2759,Missouri,Saturday,January,2014,1/25/2014,1295
2760,Alaska,Saturday,August,2014,8/9/2014,719
2761,Montana,Saturday,August,2014,8/23/2014,873
2762,Iowa,Sunday,November,2014,11/9/2014,1037
2763,Oklahoma,Wednesday,May,2014,5/28/2014,805
2764,Louisiana,Friday,February,2014,2/7/2014,1680
2765,Alaska,Wednesday,April,2014,4/2/2014,709
2766,Idaho,Saturday,May,2014,5/24/2014,1609
2767,Louisiana,Thursday,December,2014,12/25/2014,1326
2768,Missouri,Monday,December,2014,12/1/2014,1107
2769,Mississippi,Tuesday,March,2014,3/18/2014,864
2770,California,Sunday,May,2014,5/18/2014,528
2771,New York,Saturday,September,2014,9/13/2014,678
2772,Washington,Sunday,July,2014,7/13/2014,874
2773,Illinois,Monday,September,2014,9/8/2014,1425
2774,Delaware,Thursday,December,2014,12/11/2014,866
2775,Louisiana,Friday,August,2014,8/8/2014,1295
2776,Georgia,Wednesday,November,2014,11/26/2014,1172
2777,New Mexico,Thursday,December,2014,12/25/2014,974
2778,Nevada,Monday,February,2014,2/24/2014,523
2779,Missouri,Wednesday,December,2014,12/10/2014,1052
2780,New Mexico,Wednesday,June,2014,6/11/2014,1193
2781,Washington,Monday,November,2014,11/3/2014,827
2782,New Mexico,Monday,November,2014,11/10/2014,1041
2783,New York,Monday,February,2014,2/17/2014,829
2784,Idaho,Sunday,November,2014,11/16/2014,1395
2785,Missouri,Wednesday,April,2014,4/9/2014,1180
2786,Ohio,Sunday,March,2014,3/16/2014,775
2787,Delaware,Wednesday,April,2014,4/23/2014,1123
2788,Oregon,Sunday,April,2014,4/13/2014,816
2789,Delaware,Thursday,December,2014,12/18/2014,769
2790,Illinois,Thursday,June,2014,6/12/2014,1399
2791,Missouri,Sunday,March,2014,3/16/2014,1159
2792,Indiana,Sunday,August,2014,8/17/2014,464
2793,Florida,Sunday,May,2014,5/18/2014,865
2794,Ohio,Tuesday,July,2014,7/22/2014,548
2795,New York,Sunday,October,2014,10/12/2014,777
2796,Indiana,Monday,December,2014,12/8/2014,445
2797,Delaware,Thursday,November,2014,11/20/2014,862
2798,Kansas,Sunday,December,2014,12/7/2014,1147
2799,California,Saturday,July,2014,7/26/2014,762
2800,California,Wednesday,January,2014,1/8/2014,746
2801,Indiana,Thursday,August,2014,8/14/2014,569
2802,Florida,Thursday,September,2014,9/25/2014,788
2803,New Mexico,Wednesday,October,2014,10/29/2014,1272
2804,Kansas,Friday,July,2014,7/25/2014,1079
2805,Nevada,Sunday,October,2014,10/5/2014,388
2806,Delaware,Sunday,November,2014,11/23/2014,813
2807,California,Thursday,April,2014,4/10/2014,745
2808,Iowa,Friday,September,2014,9/12/2014,1295
2809,Ohio,Saturday,July,2014,7/5/2014,539
2810,Oregon,Wednesday,July,2014,7/2/2014,650
2811,Maine,Tuesday,March,2014,3/11/2014,356
2812,Kansas,Friday,February,2014,2/28/2014,1462
2813,Montana,Thursday,March,2014,3/13/2014,913
2814,Illinois,Friday,August,2014,8/29/2014,1433
2815,New Mexico,Wednesday,July,2014,7/30/2014,1177
2816,Kansas,Tuesday,August,2014,8/26/2014,1177
2817,Alaska,Thursday,April,2014,4/17/2014,558
2818,Arkansas,Tuesday,November,2014,11/18/2014,1175
2819,Oklahoma,Monday,March,2014,3/31/2014,592
2820,Idaho,Monday,June,2014,6/2/2014,1391
2821,Oklahoma,Tuesday,April,2014,4/22/2014,495
2822,Illinois,Saturday,February,2014,2/22/2014,1606
2823,Montana,Friday,June,2014,6/6/2014,998
2824,Kansas,Tuesday,November,2014,11/25/2014,1114
2825,Kansas,Saturday,June,2014,6/28/2014,951
2826,Florida,Wednesday,October,2014,10/15/2014,964
2827,Oregon,Sunday,June,2014,6/22/2014,698
2828,Maine,Monday,April,2014,4/7/2014,545
2829,Kansas,Thursday,December,2014,12/11/2014,1167
2830,Delaware,Friday,August,2014,8/15/2014,908
2831,Washington,Tuesday,July,2014,7/22/2014,933
2832,Georgia,Thursday,November,2014,11/13/2014,1087
2833,Indiana,Friday,February,2014,2/7/2014,610
2834,Nebraska,Saturday,June,2014,6/14/2014,738
2835,Georgia,Monday,December,2014,12/22/2014,1301
2836,Louisiana,Wednesday,March,2014,3/26/2014,1629
2837,Idaho,Monday,June,2014,6/2/2014,1215
2838,New York,Friday,June,2014,6/27/2014,560
2839,Oklahoma,Wednesday,June,2014,6/4/2014,573
2840,Maine,Wednesday,November,2014,11/5/2014,335
2841,Alaska,Saturday,April,2014,4/5/2014,805
2842,Louisiana,Monday,August,2014,8/25/2014,1454
2843,Washington,Thursday,September,2014,9/4/2014,849
2844,Ohio,Wednesday,December,2014,12/24/2014,670
2845,Maine,Sunday,September,2014,9/21/2014,333
2846,Georgia,Monday,December,2014,12/15/2014,1216
2847,Mississippi,Monday,March,2014,3/17/2014,654
2848,Delaware,Sunday,November,2014,11/30/2014,816
2849,Oregon,Saturday,February,2014,2/1/2014,748
2850,Louisiana,Sunday,September,2014,9/14/2014,1352
2851,Nevada,Monday,May,2014,5/12/2014,456
2852,Mississippi,Tuesday,March,2014,3/4/2014,594
2853,Georgia,Friday,October,2014,10/31/2014,1278
2854,Nevada,Tuesday,August,2014,8/12/2014,388
2855,Montana,Sunday,November,2014,11/2/2014,881
2856,Missouri,Monday,December,2014,12/22/2014,1060
2857,Mississippi,Sunday,January,2014,1/19/2014,739
2858,Oklahoma,Monday,November,2014,11/24/2014,428
2859,Montana,Friday,December,2014,12/12/2014,644
2860,Illinois,Tuesday,December,2014,12/23/2014,1255
2861,Georgia,Sunday,December,2014,12/7/2014,1140
2862,Ohio,Thursday,March,2014,3/20/2014,809
2863,Idaho,Saturday,May,2014,5/3/2014,1467
2864,New York,Friday,May,2014,5/9/2014,706
2865,Kansas,Saturday,August,2014,8/16/2014,1053
2866,Florida,Friday,September,2014,9/12/2014,735
2867,New York,Wednesday,August,2014,8/6/2014,896
2868,Illinois,Monday,August,2014,8/4/2014,1346
2869,Oregon,Saturday,July,2014,7/26/2014,495
2870,Florida,Friday,September,2014,9/12/2014,926
2871,Florida,Tuesday,July,2014,7/29/2014,995
2872,Florida,Sunday,April,2014,4/27/2014,1009
2873,Oklahoma,Wednesday,October,2014,10/22/2014,590
2874,Oregon,Wednesday,April,2014,4/16/2014,704
2875,Idaho,Tuesday,September,2014,9/9/2014,1406
2876,California,Monday,January,2014,1/20/2014,678
2877,New York,Thursday,February,2014,2/13/2014,786
2878,New Mexico,Monday,December,2014,12/22/2014,1158
2879,Oregon,Saturday,March,2014,3/8/2014,850
2880,Nebraska,Tuesday,April,2014,4/8/2014,554
2881,Alaska,Monday,October,2014,10/13/2014,528
2882,Indiana,Monday,July,2014,7/21/2014,515
2883,California,Friday,February,2014,2/28/2014,704
2884,Louisiana,Sunday,November,2014,11/23/2014,1269
2885,Kansas,Friday,November,2014,11/28/2014,1121
2886,Louisiana,Monday,July,2014,7/28/2014,1384
2887,Mississippi,Monday,May,2014,5/26/2014,787
2888,California,Wednesday,April,2014,4/16/2014,638
2889,Nebraska,Wednesday,October,2014,10/8/2014,782
2890,Illinois,Saturday,May,2014,5/3/2014,1586
2891,Alaska,Wednesday,March,2014,3/5/2014,777
2892,Washington,Monday,October,2014,10/20/2014,861
2893,Texas,Saturday,December,2014,12/20/2014,1147
2894,Missouri,Wednesday,November,2014,11/5/2014,1029
2895,Nevada,Friday,September,2014,9/26/2014,492
2896,California,Monday,July,2014,7/21/2014,744
2897,Maine,Thursday,September,2014,9/18/2014,487
2898,Nebraska,Saturday,July,2014,7/5/2014,663
2899,California,Tuesday,August,2014,8/19/2014,678
2900,Texas,Tuesday,December,2014,12/23/2014,1146
2901,Nebraska,Thursday,August,2014,8/21/2014,692
2902,Georgia,Monday,August,2014,8/4/2014,1406
2903,New Mexico,Tuesday,November,2014,11/4/2014,1113
2904,Nevada,Monday,October,2014,10/6/2014,565
2905,Georgia,Thursday,December,2014,12/25/2014,1163
2906,Delaware,Sunday,August,2014,8/10/2014,844
2907,Washington,Wednesday,December,2014,12/10/2014,818
2908,Washington,Friday,December,2014,12/26/2014,807
2909,Florida,Thursday,June,2014,6/5/2014,1059
2910,Nebraska,Tuesday,December,2014,12/2/2014,722
2911,Indiana,Tuesday,June,2014,6/10/2014,533
2912,Oregon,Sunday,August,2014,8/3/2014,784
2913,Indiana,Thursday,March,2014,3/20/2014,626
2914,Kansas,Monday,November,2014,11/3/2014,1154
2915,Oregon,Wednesday,May,2014,5/21/2014,619
2916,Oregon,Friday,May,2014,5/9/2014,766
2917,Delaware,Saturday,December,2014,12/6/2014,869
2918,Montana,Tuesday,June,2014,6/3/2014,825
2919,Idaho,Friday,June,2014,6/13/2014,1515
2920,Mississippi,Monday,May,2014,5/5/2014,820
2921,Montana,Monday,August,2014,8/25/2014,812
2922,Iowa,Saturday,July,2014,7/26/2014,1130
2923,Arkansas,Sunday,June,2014,6/8/2014,1239
2924,Mississippi,Tuesday,March,2014,3/4/2014,702
2925,New York,Sunday,September,2014,9/7/2014,733
2926,Texas,Thursday,October,2014,10/2/2014,1257
2927,Georgia,Wednesday,May,2014,5/14/2014,1261
2928,Maine,Friday,May,2014,5/23/2014,395
2929,Louisiana,Sunday,December,2014,12/14/2014,1344
2930,Illinois,Wednesday,June,2014,6/25/2014,1480
2931,California,Tuesday,April,2014,4/1/2014,828
2932,Delaware,Sunday,May,2014,5/25/2014,1126
2933,Louisiana,Tuesday,December,2014,12/9/2014,1313
2934,Maine,Saturday,February,2014,2/22/2014,240
2935,Texas,Monday,February,2014,2/24/2014,1425
2936,Ohio,Thursday,June,2014,6/26/2014,755
2937,Iowa,Monday,September,2014,9/15/2014,1087
2938,Nebraska,Saturday,March,2014,3/1/2014,894
2939,Oregon,Thursday,March,2014,3/20/2014,819
2940,Arkansas,Thursday,September,2014,9/25/2014,1305
2941,Idaho,Wednesday,December,2014,12/17/2014,1210
2942,Indiana,Friday,February,2014,2/7/2014,644
2943,Florida,Tuesday,December,2014,12/2/2014,909
2944,Maine,Thursday,February,2014,2/13/2014,413
2945,Georgia,Thursday,August,2014,8/14/2014,1046
2946,Texas,Sunday,December,2014,12/21/2014,1305
2947,Montana,Tuesday,October,2014,10/21/2014,911
2948,Oregon,Wednesday,August,2014,8/27/2014,688
2949,Delaware,Wednesday,April,2014,4/23/2014,747
2950,Kansas,Wednesday,October,2014,10/8/2014,1163
2951,New Mexico,Wednesday,June,2014,6/11/2014,1207
2952,California,Sunday,May,2014,5/18/2014,595
2953,Alaska,Thursday,February,2014,2/20/2014,910
2954,Idaho,Saturday,April,2014,4/12/2014,1408
2955,Missouri,Sunday,December,2014,12/21/2014,936
2956,Florida,Wednesday,September,2014,9/10/2014,867
2957,Maine,Friday,March,2014,3/28/2014,450
2958,Montana,Saturday,September,2014,9/13/2014,1083
2959,Nevada,Monday,February,2014,2/3/2014,457
2960,Indiana,Thursday,November,2014,11/20/2014,462
2961,Montana,Friday,November,2014,11/7/2014,783
2962,Oklahoma,Friday,May,2014,5/30/2014,495
2963,Mississippi,Friday,February,2014,2/21/2014,633
2964,Louisiana,Thursday,October,2014,10/16/2014,1400
2965,Illinois,Friday,June,2014,6/27/2014,1476
2966,Louisiana,Sunday,June,2014,6/15/2014,1458
2967,Kansas,Monday,April,2014,4/7/2014,1282
2968,Oregon,Monday,April,2014,4/14/2014,866
2969,Alaska,Wednesday,July,2014,7/2/2014,673
2970,Alaska,Sunday,October,2014,10/19/2014,724
2971,Alaska,Monday,February,2014,2/24/2014,631
2972,Oregon,Saturday,July,2014,7/19/2014,705
2973,Oregon,Sunday,June,2014,6/15/2014,723
2974,Missouri,Sunday,December,2014,12/7/2014,1303
2975,New Mexico,Friday,October,2014,10/3/2014,1172
2976,Arkansas,Wednesday,November,2014,11/5/2014,1141
2977,Arkansas,Saturday,November,2014,11/15/2014,994
2978,Illinois,Monday,December,2014,12/1/2014,1477
2979,Iowa,Sunday,November,2014,11/9/2014,1146
2980,Oregon,Friday,May,2014,5/9/2014,530
2981,California,Friday,January,2014,1/24/2014,586
2982,Kansas,Wednesday,December,2014,12/3/2014,1147
2983,Ohio,Friday,December,2014,12/12/2014,714
2984,Florida,Sunday,August,2014,8/3/2014,951
2985,Florida,Thursday,December,2014,12/11/2014,716
2986,Illinois,Saturday,May,2014,5/31/2014,1479
2987,Nebraska,Sunday,February,2014,2/9/2014,877
2988,New York,Friday,January,2014,1/10/2014,755
2989,Delaware,Thursday,September,2014,9/11/2014,1066
2990,Florida,Tuesday,December,2014,12/23/2014,932
2991,Georgia,Wednesday,December,2014,12/10/2014,1093
2992,Missouri,Sunday,August,2014,8/3/2014,1171
2993,Alaska,Wednesday,March,2014,3/12/2014,683
2994,Kansas,Tuesday,September,2014,9/23/2014,1101
2995,New York,Saturday,January,2014,1/4/2014,877
2996,Arkansas,Saturday,May,2014,5/17/2014,1192
2997,Missouri,Thursday,May,2014,5/29/2014,1259
2998,Florida,Tuesday,November,2014,11/4/2014,827
2999,Mississippi,Sunday,September,2014,9/28/2014,468
3000,Oregon,Wednesday,August,2014,8/13/2014,689
3001,Oregon,Wednesday,April,2014,4/2/2014,626
3002,Illinois,Friday,December,2014,12/26/2014,1256
3003,Ohio,Monday,January,2014,1/6/2014,687
3004,Texas,Wednesday,November,2014,11/5/2014,1116
3005,Texas,Sunday,July,2014,7/6/2014,1256
3006,Oregon,Monday,June,2014,6/16/2014,661
3007,Texas,Monday,July,2014,7/28/2014,1257
3008,Oregon,Monday,January,2014,1/6/2014,733
3009,Louisiana,Wednesday,December,2014,12/3/2014,1458
3010,Nevada,Thursday,May,2014,5/29/2014,345
3011,Texas,Monday,September,2014,9/22/2014,1159
3012,Iowa,Sunday,October,2014,10/12/2014,1119
3013,Maine,Monday,February,2014,2/10/2014,363
3014,Florida,Thursday,March,2014,3/13/2014,1019
3015,Iowa,Friday,August,2014,8/1/2014,1156
3016,Texas,Monday,July,2014,7/21/2014,1274
3017,Idaho,Tuesday,October,2014,10/7/2014,1411
3018,Nevada,Thursday,March,2014,3/6/2014,438
3019,Arkansas,Sunday,December,2014,12/21/2014,1136
3020,Iowa,Wednesday,June,2014,6/4/2014,1259
3021,Florida,Sunday,August,2014,8/24/2014,962
3022,Idaho,Friday,May,2014,5/30/2014,1450
3023,Louisiana,Friday,November,2014,11/14/2014,1254
3024,Nevada,Friday,June,2014,6/20/2014,404
3025,Nebraska,Friday,October,2014,10/17/2014,767
3026,Kansas,Sunday,August,2014,8/24/2014,1254
3027,Alaska,Wednesday,May,2014,5/7/2014,598
3028,Georgia,Friday,July,2014,7/11/2014,1193
3029,Mississippi,Wednesday,March,2014,3/12/2014,767
3030,Oregon,Tuesday,May,2014,5/6/2014,739
3031,New York,Saturday,October,2014,10/18/2014,710
3032,California,Wednesday,June,2014,6/4/2014,693
3033,California,Monday,February,2014,2/24/2014,542
3034,Arkansas,Tuesday,September,2014,9/23/2014,1203
3035,Maine,Friday,May,2014,5/2/2014,360
3036,Missouri,Sunday,September,2014,9/28/2014,1079
3037,Texas,Friday,October,2014,10/31/2014,1191
3038,Nevada,Monday,August,2014,8/11/2014,506
3039,Illinois,Thursday,July,2014,7/10/2014,1582
3040,California,Thursday,April,2014,4/3/2014,633
3041,Missouri,Thursday,September,2014,9/11/2014,1061
3042,Indiana,Sunday,April,2014,4/6/2014,663
3043,Montana,Friday,March,2014,3/28/2014,847
3044,Ohio,Thursday,September,2014,9/18/2014,528
3045,Ohio,Monday,September,2014,9/1/2014,513
3046,Indiana,Monday,May,2014,5/19/2014,602
3047,Missouri,Thursday,May,2014,5/22/2014,1040
3048,Delaware,Sunday,October,2014,10/12/2014,734
3049,Nevada,Thursday,February,2014,2/13/2014,365
3050,Georgia,Wednesday,December,2014,12/10/2014,1330
3051,Montana,Wednesday,July,2014,7/9/2014,786
3052,Indiana,Monday,March,2014,3/3/2014,709
3053,Iowa,Tuesday,October,2014,10/7/2014,1098
3054,Louisiana,Saturday,August,2014,8/9/2014,1543
3055,Maine,Monday,February,2014,2/24/2014,399
3056,Montana,Tuesday,November,2014,11/18/2014,844
3057,Nebraska,Wednesday,March,2014,3/12/2014,741
3058,Louisiana,Saturday,December,2014,12/13/2014,1271
3059,Alaska,Sunday,March,2014,3/30/2014,710
3060,Louisiana,Monday,October,2014,10/6/2014,1461
3061,Missouri,Monday,September,2014,9/22/2014,1396
3062,Montana,Sunday,April,2014,4/27/2014,954
3063,Idaho,Sunday,December,2014,12/7/2014,1131
3064,Texas,Thursday,August,2014,8/7/2014,1371
3065,Nevada,Friday,January,2014,1/10/2014,479
3066,Nebraska,Wednesday,February,2014,2/5/2014,738
3067,Louisiana,Thursday,September,2014,9/25/2014,1441
3068,Missouri,Sunday,October,2014,10/26/2014,1098
3069,Missouri,Friday,June,2014,6/6/2014,1310
3070,Arkansas,Wednesday,May,2014,5/7/2014,1424
3071,Florida,Sunday,October,2014,10/26/2014,894
3072,Illinois,Monday,November,2014,11/3/2014,1303
3073,Arkansas,Monday,October,2014,10/13/2014,1131
3074,Kansas,Wednesday,November,2014,11/5/2014,1089
3075,Iowa,Monday,August,2014,8/25/2014,1115
3076,Montana,Thursday,October,2014,10/30/2014,674
3077,Iowa,Monday,August,2014,8/4/2014,1047
3078,Oklahoma,Wednesday,January,2014,1/1/2014,465
3079,Arkansas,Monday,December,2014,12/8/2014,1098
3080,Oregon,Sunday,June,2014,6/15/2014,820
3081,Maine,Friday,May,2014,5/30/2014,436
3082,Washington,Sunday,December,2014,12/14/2014,879
3083,Oregon,Sunday,April,2014,4/13/2014,815
3084,New York,Wednesday,November,2014,11/26/2014,665
3085,Indiana,Sunday,February,2014,2/16/2014,579
3086,Nebraska,Sunday,August,2014,8/31/2014,748
3087,Florida,Wednesday,November,2014,11/5/2014,801
3088,Texas,Friday,September,2014,9/19/2014,1230
3089,Indiana,Saturday,August,2014,8/9/2014,566
3090,Delaware,Friday,November,2014,11/7/2014,770
3091,Indiana,Friday,March,2014,3/21/2014,581
3092,California,Wednesday,April,2014,4/9/2014,510
3093,California,Friday,August,2014,8/1/2014,528
3094,Alaska,Friday,January,2014,1/24/2014,552
3095,Washington,Thursday,November,2014,11/6/2014,698
3096,Indiana,Sunday,March,2014,3/30/2014,550
3097,Delaware,Sunday,April,2014,4/13/2014,903
3098,New Mexico,Thursday,September,2014,9/25/2014,1043
3099,Oregon,Wednesday,April,2014,4/2/2014,726
3100,Mississippi,Thursday,February,2014,2/6/2014,699
3101,Washington,Thursday,May,2014,5/8/2014,881
3102,Arkansas,Monday,September,2014,9/22/2014,1271
3103,New Mexico,Monday,December,2014,12/8/2014,1044
3104,Mississippi,Saturday,January,2014,1/18/2014,737
3105,Indiana,Saturday,March,2014,3/29/2014,543
3106,Montana,Sunday,November,2014,11/16/2014,819
3107,Oregon,Thursday,February,2014,2/6/2014,771
3108,California,Friday,December,2014,12/26/2014,533
3109,Mississippi,Wednesday,November,2014,11/5/2014,706
3110,Delaware,Friday,June,2014,6/13/2014,1077
3111,Mississippi,Monday,April,2014,4/7/2014,750
3112,Idaho,Monday,December,2014,12/1/2014,1202
3113,Maine,Tuesday,March,2014,3/25/2014,507
3114,Georgia,Saturday,August,2014,8/23/2014,1261
3115,Oregon,Thursday,November,2014,11/27/2014,568
3116,Georgia,Saturday,October,2014,10/11/2014,1189
3117,Iowa,Wednesday,October,2014,10/22/2014,1087
3118,Kansas,Tuesday,November,2014,11/11/2014,1098
3119,Maine,Saturday,May,2014,5/10/2014,381
3120,Oklahoma,Friday,February,2014,2/28/2014,666
3121,Texas,Friday,August,2014,8/8/2014,1362
3122,Illinois,Wednesday,June,2014,6/18/2014,1506
3123,New Mexico,Sunday,July,2014,7/6/2014,1149
3124,Illinois,Thursday,November,2014,11/27/2014,1401
3125,Illinois,Saturday,August,2014,8/23/2014,1417
3126,Idaho,Saturday,June,2014,6/7/2014,1449
3127,Illinois,Friday,March,2014,3/28/2014,1342
3128,Georgia,Tuesday,August,2014,8/19/2014,1253
3129,Maine,Monday,February,2014,2/3/2014,433
3130,Montana,Friday,September,2014,9/26/2014,800
3131,New York,Tuesday,January,2014,1/28/2014,743
3132,Texas,Monday,December,2014,12/22/2014,1096
3133,Alaska,Monday,February,2014,2/10/2014,917
3134,Oklahoma,Friday,April,2014,4/11/2014,552
3135,Nevada,Monday,March,2014,3/24/2014,379
3136,Nevada,Wednesday,May,2014,5/28/2014,436
3137,New Mexico,Saturday,September,2014,9/13/2014,1156
3138,Nevada,Monday,June,2014,6/2/2014,366
3139,Alaska,Friday,February,2014,2/21/2014,614
3140,Missouri,Tuesday,August,2014,8/26/2014,1185
3141,Maine,Wednesday,October,2014,10/1/2014,363
3142,Arkansas,Saturday,November,2014,11/15/2014,1127
3143,Montana,Monday,December,2014,12/22/2014,904
3144,Oklahoma,Wednesday,May,2014,5/14/2014,632
3145,Mississippi,Tuesday,February,2014,2/4/2014,835
3146,Oregon,Tuesday,January,2014,1/14/2014,728
3147,Delaware,Saturday,November,2014,11/15/2014,752
3148,Mississippi,Thursday,May,2014,5/8/2014,716
3149,Iowa,Sunday,August,2014,8/24/2014,1047
3150,Texas,Wednesday,December,2014,12/10/2014,1167
3151,Georgia,Thursday,September,2014,9/18/2014,1322
3152,Louisiana,Saturday,July,2014,7/5/2014,1396
3153,Oklahoma,Wednesday,November,2014,11/19/2014,539
3154,Florida,Sunday,June,2014,6/22/2014,871
3155,Florida,Wednesday,December,2014,12/3/2014,787
3156,Washington,Wednesday,April,2014,4/30/2014,955
3157,Idaho,Monday,August,2014,8/18/2014,1281
3158,Oregon,Saturday,January,2014,1/25/2014,782
3159,Ohio,Sunday,March,2014,3/30/2014,560
3160,Nebraska,Thursday,May,2014,5/1/2014,742
3161,Alaska,Wednesday,January,2014,1/15/2014,594
3162,New Mexico,Sunday,February,2014,2/23/2014,1146
3163,Washington,Tuesday,August,2014,8/19/2014,919
3164,Missouri,Monday,December,2014,12/8/2014,1085
3165,Idaho,Friday,December,2014,12/26/2014,1297
3166,Georgia,Monday,June,2014,6/9/2014,1216
3167,Mississippi,Wednesday,May,2014,5/7/2014,658
3168,New York,Saturday,March,2014,3/29/2014,812
3169,Louisiana,Saturday,October,2014,10/11/2014,1421
3170,New York,Saturday,August,2014,8/16/2014,710
3171,Louisiana,Friday,October,2014,10/31/2014,1380
3172,Washington,Thursday,August,2014,8/28/2014,891
3173,Maine,Friday,July,2014,7/25/2014,455
3174,Maine,Saturday,August,2014,8/9/2014,372
3175,Ohio,Saturday,February,2014,2/1/2014,734
3176,Texas,Saturday,April,2014,4/26/2014,1402
3177,California,Sunday,November,2014,11/2/2014,644
3178,Washington,Friday,September,2014,9/5/2014,803
3179,Alaska,Monday,November,2014,11/24/2014,568
3180,Washington,Saturday,December,2014,12/20/2014,905
3181,Illinois,Sunday,March,2014,3/16/2014,1454
3182,Idaho,Wednesday,December,2014,12/24/2014,1172
